x,v,a,tip
0,0,2.70646,1.2
0.0135323,0.270646,2.504512639,1.2
0.053119463,0.521097264,2.317633942,1.2
0.116817359,0.752860658,2.144699534,1.2
0.202826923,0.967330612,1.984668937,1.2
0.309483329,1.165797505,1.836579309,1.2
0.435245976,1.349455436,1.699539654,1.2
0.578689218,1.519409402,1.572725459,1.2
0.738493785,1.676681948,1.455373732,1.2
0.913438848,1.822219321,1.346778414,1.2
1.102394673,1.956897162,1.24628613,1.2
1.304315819,2.081525775,1.153292258,1.2
1.518234858,2.196855001,1.06723729,1.2
1.743256545,2.30357873,0.987603468,1.2
1.978552435,2.402339077,0.913911666,1.2
2.223355901,2.493730243,0.84571851,1.2
2.476957518,2.578302094,0.782613709,1.2
2.738700796,2.656563465,0.724217585,1.2
3.00797823,2.728985224,0.670178793,1.2
3.284227647,2.796003103,-0.849455899,1.2
